TOKEN	MORPH	SEG_BME	LABEL
aywayashqaatapis	['Aywa', 'ya', 'shqa', 'a', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Prf', 'Poss.1Sg', 'Obj', 'Coord']
pesakuyaami	['pesa', 'ku', 'ya', 'a', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'F']	['V', 'Refl/Mid', 'Pl', '1', 'Asrt']
niyaanaq	['ni', 'yaa', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
despwes	['Despwes']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
almorsarikurnam	['almorsa', 'ri', 'ku', 'r', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Pct', 'Intens', 'Cnv', 'Acp', 'Asrt']
padre	['padre']	['D', 'M', 'M', 'M', 'F']	['N']
guillermuwan	['Guillermu', 'wan']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Com']
wiyarayarqaa	['wiya', 'ra', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
radyuchaw	['radyu', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
mehikuchaw	['Mehiku', 'chaw']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Loc']
pukllaqkunata	['pukllaq', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
tsaynash	['Tsay', 'na', 'sh']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['PRON', 'Acp', 'Nfh']
rogarqunaq	['roga', 'rqu', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['V', 'RecPst', 'Rpst']
felipeqa	['Felipe', 'qa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Top']
kabutaqa	['kabu', 'ta', 'qa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
señor	['Señor']	['D', 'M', 'M', 'M', 'F']	['N']
ama	['ama']	['D', 'M', 'F']	['ADV']
karselmanqa	['karsel', 'man', 'qa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Dat', 'Top']
pasatsimaytsu	['pasa', 'tsi', 'ma', 'y', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Caus', '1.Obj', 'Imp.2', 'Neg']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
patsa	['patsa']	['D', 'M', 'M', 'M', 'F']	['N']
ampiiriptin	['ampiiri', 'pti', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Cnv', 'Poss.3']
nuqana	['nuqa', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Acp']
sendirqaa	['sendi', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
hatun	['hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
linternaata	['linterna', 'a', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.1', 'Obj']
i	['I']	['U']	['CCONJ']
manam	['mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
paypita	['pay', 'pita']	['D', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON.Prs', 'Abl']
ni	['ni']	['D', 'F']	['ADV']
pi	['pi']	['D', 'F']	['PRON']
eskapankitsu	['eskapa', 'nki', 'tsu']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', '2', 'Neg']
las	['Las']	['D', 'M', 'F']	['DET']
onse	['onse']	['D', 'M', 'M', 'F']	['NUM.Card']
de	['de']	['D', 'F']	['ADP']
la	['la']	['D', 'F']	['DET']
mañana	['mañana']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
misa	['misa']	['D', 'M', 'M', 'F']	['N']
de	['de']	['D', 'F']	['ADP']
fyesta	['fyesta']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
lehyon	['Lehyon']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
de	['de']	['D', 'F']	['ADP']
mariata	['Maria', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Obj']
hundayta	['hunda', 'y', 'ta']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Inf', 'Obj']
munarmi	['muna', 'r', 'mi']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Cnv', 'Asrt']
permisuta	['permisu', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
mañarqaa	['maña', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
señor	['señor']	['D', 'M', 'M', 'M', 'F']	['N']
obisputa	['obispu', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
minero	['Minero']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
runakunawan	['runa', 'kuna', 'wan']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Com']
parlarirnam	['parla', 'ri', 'r', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Pct', 'Cnv', 'Acp', 'Asrt']
contrato	['contrato']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
nishqan	['ni', 'shqa', 'n']	['D', 'F', 'D', 'M', 'M', 'F', 'U']	['VTr', 'Prf', 'Poss.3']
papelta	['papel', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
qillqariyarqan	['qillqa', 'ri', 'ya', 'rqa', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '3']
chaariyaa	['Chaa', 'ri', 'ya', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '1']
kasi	['kasi']	['D', 'M', 'M', 'F']	['ADV']
la	['la']	['D', 'F']	['DET']
una	['una']	['D', 'M', 'F']	['NUM.Card']
de	['de']	['D', 'F']	['ADP']
la	['la']	['D', 'F']	['DET']
tardinawlla	['tardi', 'naw', 'lla']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['N', 'Equ', 'Lim']
sonsuqa	['Sonsu', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
nin	['ni', 'n']	['D', 'F', 'U']	['VTr', '3']
maytaq	['May', 'taq']	['D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Ctrs']
dokumentu	['dokumentu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
uusham	['Uusha', 'm']	['D', 'M', 'M', 'M', 'F', 'U']	['N', 'Asrt']
kinraykan	['kinra', 'yka', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Prog', '3']
qiwaman	['qiwa', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
diskulpakurqan	['diskulpa', 'ku', 'rqa', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Pst', '3']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
ni	['ni']	['D', 'F']	['ADV']
pi	['pi']	['D', 'F']	['PRON']
kichayaamarqatsu	['kicha', 'yaa', 'ma', 'rqa', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', '1.Obj', 'Pst', 'Neg']
niyaptii	['ni', 'ya', 'pti', 'i']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Cnv', 'Poss.1Sg']
imanaw	['Imanaw']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
aykanawpis	['aykanaw', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Coord']
puntata	['punta', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
waqtariyarqaa	['waqta', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Pst', '1']
yachaywayichawmi	['Yachaywayi', 'chaw', 'mi']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Loc', 'Asrt']
wamrakuna	['wamra', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
librunkunata	['libru', 'n', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Poss.3', 'Pl', 'Obj']
ñawitsaykaayan	['ñawi', 'tsa', 'ykaa', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Transl', 'Prog', 'Pl', '3']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
awtu	['awtu']	['D', 'M', 'M', 'F']	['N']
pararirqan	['para', 'ri', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Pct', 'Pst', '3']
lunchita	['lunchi', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
upuyaanaqpaq	['upu', 'yaa', 'na', 'q', 'paq']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pot', 'Agt', 'Ben']
ashnum	['Ashnu', 'm']	['D', 'M', 'M', 'M', 'F', 'U']	['N', 'Asrt']
tahu	['tahu']	['D', 'M', 'M', 'F']	['ADJ']
cebadata	['cebada', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
mikuykan	['miku', 'yka', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Prog', '3']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
wamraqa	['wamra', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
aywar	['aywa', 'r']	['D', 'M', 'M', 'F', 'U']	['VTr', 'Cnv']
tesoreruta	['tesoreru', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
willaramunaq	['willa', 'ra', 'mu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Cis', 'Rpst']
treintiuno	['Treintiuno']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['NUM.Card']
de	['de']	['D', 'F']	['ADP']
agosto	['agosto']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
san	['San']	['D', 'M', 'F']	['N']
santiago	['Santiago']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
mayor	['Mayor']	['D', 'M', 'M', 'M', 'F']	['PROPN']
tsayllaman	['Tsay', 'lla', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Lim', 'Dat']
asistiyaanaq	['asisti', 'yaa', 'naq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Rpst']
qanchis	['qanchis']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['NUM.Card']
nuna	['nuna']	['D', 'M', 'M', 'F']	['N']
tsayshi	['Tsay', 'shi']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Nfh']
patsa	['patsa']	['D', 'M', 'M', 'M', 'F']	['N']
waraariptin	['waraa', 'ri', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Cnv', 'Poss.3']
kuntuta	['kuntu', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
rikaarinaq	['rikaa', 'ri', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Rpst']
i	['I']	['U']	['CCONJ']
despwesna	['despwes', 'na']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Acp']
padrinu	['padrinu']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
qatswan	['qatswa', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['VInt', '3']
nobyawan	['nobya', 'wan']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
iglesya	['Iglesya']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
parokyal	['parokyal']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
frentinchaw	['frenti', 'n', 'chaw']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Loc']
yarpuriyarqaa	['yarpu', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Pst', '1']
llapaa	['Llapa', 'a']	['D', 'M', 'M', 'M', 'F', 'U']	['PRON', 'Poss.1Sg']
apukunam	['Apu', 'kuna', 'm']	['D', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['N', 'Pl', 'Asrt']
